titre,auteur
Les mots endimanchés,Josée Valiquette
Guillaume-Gabriel Nivers,Cécile Davy-Rigaux
And Then I Met Him,L. Arthur
Una Historia de Ayer,Sergio Cobo
Envy: The Root of All Evil,Angel Williams
L'ennemi de la mort,Robert Poudérou
L'Ordre du jour,Éric Vuillard
Chronique d'une famille,Jean Marjoulet
Description de la Louisiane,Louis Hennepin
All the Sweet Promises,Elizabeth Elgin
Musées de voluptés,Maurice Verne
Why Do Men Have Nipples?,Vicar Michael
Il serait une fois..,Didier Martin
Le fou d'Yrnel,Guy Vassal
Gouverner l'e conomie,Alain Lipietz
Le secret de Louise,Anne-Marie Desplat-Duc
FRENCH,Collins GEM
Les Bastides,Michel Cantal-Dupart
The Joy Luck Club,Amy Tan
Le caféier et le café,Edélestan Jardin
Nutshell,Ian McEwan
Note To Self,Brian E. Niskala
LES ÉCUREUILS DE CENTRAL PARK SONT TRISTES LE LUNDI,KATHERINE PANCOL
"Secret défense d'aimer, tome 2",Axelle Auclair
Le récit féminin,Claude Chabrol
Zoeken naar Eileen W.,Leon de Winter
She's with me,Jessica Cunsolo
Snakes and Earrings,Hitomi Kanehara
"Alice, Vous êtes Unique!",Marta Becker
Ocean Sea,Alessandro Baricco
November Mourns,Tom Piccirilli
Moah le fils de la folle,Clément Zongo
The Way to Love,Anthony de Mello
The Second Shift,Arlie Russell Hochschild
Beowulf,Seamus Heaney
L'ennemi utile,Pierre Thoumelin
Die Mission,Rod Rees
La vie et la lumière,Raphaël Dubois
Les rescapés du feu,Anne Michelin
Le XVIIe siècle,André Ducasse
A Bird Without Wings,Roberta Pearce
Something Like Summer,Jay Bell
Le Chardon Et Le Tartan 4,Diana Gabaldon
Une vie de mathématicien,Jean Céa
Le Syst'me 'Ducatif Burundais,World Bank
Le fil rouge de l'histoire,Bernard Rathaux
Child Witch Kinshasa,Mike Orms
Les innocents de Paris,"Cesbron, Gilbert"
Le tétrabie,Raymond Desorties
Réquiem para una muñeca rota.,Eve Gil
Viper's Creed,T.L. Shreffler
I'm Thinking of Ending Things,Iain Reid
Les portes du ciel,Marc Etienne
Les historiographes en Europe,Chantal Grell
Le Paris de Colette,"Dupont, Jacques"
Les réseaux de la malbouffe,Géraldine Meignan
Encore un peu de temps,Jean-Denis Bredin
Jake Undone,Penelope Ward
Les morsures de la nuit,Brigitte Coppin
Les belles heures de la tapisserie,D. Boccara
Les surprises du divorce,Alexandre Bisson
La France du marché noir,Fabrice Grenard
The Prince in Waiting,John Christopher
Le Blanc du Noir,Susanne Gehrmann
When the Lion Feeds,Wilbur Smith
